article_id,iter0_CP,iter0_AA,iter0_FA,iter0_KC,iter0_SC,iter0_AD,iter1_CP,iter1_AA,iter1_FA,iter1_KC,iter1_SC,iter1_AD,iter2_CP,iter2_AA,iter2_FA,iter2_KC,iter2_SC,iter2_AD,iter3_CP,iter3_AA,iter3_FA,iter3_KC,iter3_SC,iter3_AD,iter4_CP,iter4_AA,iter4_FA,iter4_KC,iter4_SC,iter4_AD,iter5_CP,iter5_AA,iter5_FA,iter5_KC,iter5_SC,iter5_AD,iter6_CP,iter6_AA,iter6_FA,iter6_KC,iter6_SC,iter6_AD,iter7_CP,iter7_AA,iter7_FA,iter7_KC,iter7_SC,iter7_AD
how to propagate a monstera albo cutting in water,0.915,1.0,1.0,0.7925,0.77,0.6888,0.9575,1.0,1.0,0.7925,0.7275,0.77,0.9362,1.0,1.0,0.895,0.8125,0.8125,0.8938,1.0,1.0,0.9375,0.8312,0.7925,0.9575,1.0,1.0,0.9575,0.8538,0.8125,0.9575,1.0,1.0,0.9375,0.8525,0.8312,0.9788,1.0,1.0,0.9588,0.8938,0.875,0.9575,1.0,1.0,0.9788,0.8725,0.915
best dog food for golden retrievers with skin allergies,0.2075,0.25,0.25,0.25,0.2288,0.2088,0.5612,0.6038,0.5825,0.3975,0.3763,0.2912,0.7688,0.875,0.875,0.4788,0.4588,0.3962,0.8725,1.0,1.0,0.77,0.625,0.565,0.9362,1.0,1.0,0.8538,0.7688,0.665,0.8938,1.0,1.0,0.895,0.7275,0.6888,0.9362,0.9588,1.0,0.915,0.79,0.73,0.8538,0.875,0.875,0.8325,0.6862,0.6875
best supplement for joint pain,0.9788,1.0,1.0,1.0,0.9362,0.9575,0.9362,1.0,1.0,1.0,0.9575,0.9788,0.9788,1.0,1.0,0.9788,0.8525,0.8525,0.9575,0.9788,0.9788,0.9788,0.915,0.915,1.0,1.0,1.0,1.0,0.9362,0.9362,1.0,1.0,1.0,1.0,0.8938,0.8938,0.8538,1.0,1.0,1.0,0.8738,0.8738,1.0,1.0,0.9375,1.0,0.915,0.9362
Is email marketing good for small businesses?,0.9788,1.0,1.0,0.8962,0.9788,1.0,0.9788,1.0,1.0,0.875,0.875,0.875,0.9788,0.9788,0.9788,0.8962,0.8962,0.8962,0.9788,1.0,1.0,0.8962,0.9588,0.9788,0.9788,1.0,1.0,0.875,0.8125,0.8325,0.9788,0.9788,0.9788,0.9162,0.9375,0.9375,0.9575,1.0,1.0,1.0,0.9575,0.9788,0.9788,1.0,1.0,0.9788,1.0,1.0
"It's a simple, light bomber-style jacket has a few pockets in the front. It's not heavy and bulky, just light enough to be sort of a wind breaker. Please provide some product recommendations for me",0.8538,1.0,1.0,0.9788,0.9162,0.9375,0.9575,1.0,1.0,0.9575,0.875,0.855,0.9788,1.0,1.0,1.0,0.915,0.9162,0.8938,1.0,1.0,0.9788,0.9575,0.9375,0.9575,1.0,1.0,1.0,0.9575,0.9575,0.9362,1.0,1.0,1.0,0.9375,0.9375,0.79,1.0,1.0,1.0,0.915,0.915,0.9575,0.9788,0.9788,1.0,0.9362,0.9375
"This laptop will have High spec, good memory, lots of power, it will be a 2 in 1 , detatcgable keyboard, maybe sony, samsung, Lenovo, probably 4k capabilities, wide screen, at least 12 inches, I estimate Â£500 Please provide some product recommendations for me",0.9788,1.0,1.0,0.875,0.8325,0.8538,1.0,1.0,1.0,1.0,0.9575,0.9575,0.9575,1.0,1.0,1.0,0.9575,0.9788,1.0,1.0,1.0,1.0,0.9788,0.9788,0.8538,1.0,1.0,1.0,0.875,0.8962,0.9788,1.0,1.0,0.9788,0.8125,0.8338,1.0,1.0,1.0,1.0,0.9575,0.9575,0.9788,1.0,1.0,1.0,0.8538,0.8962
Are women more demanding these days? If so what problems is it causing for generation Y?,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,1.0,0.9788,0.9588
What is the worst that could happen with Trump being president?,0.9575,1.0,1.0,0.875,0.875,0.855,0.9575,1.0,1.0,0.8738,0.9362,0.8962,0.9788,1.0,1.0,0.8962,0.8962,0.875,0.9788,1.0,1.0,1.0,0.9575,0.9575,0.9788,1.0,1.0,1.0,0.9362,0.9575,0.9788,1.0,1.0,1.0,0.9575,0.9375,0.8325,1.0,1.0,1.0,0.9588,0.9588,1.0,1.0,1.0,0.9788,0.9162,0.9362
In what year was the university where Sergei Aleksandrovich Tokarev was a professor founded?,1.0,1.0,1.0,1.0,0.9362,0.9788,1.0,1.0,1.0,1.0,0.8938,0.9788,0.8325,0.875,0.875,0.875,0.7062,0.77,1.0,1.0,1.0,1.0,0.8938,0.9362,1.0,1.0,1.0,1.0,0.8938,0.895,0.9788,1.0,1.0,1.0,0.8325,0.875,0.875,0.9788,1.0,1.0,0.7912,0.8125,0.9788,1.0,1.0,1.0,0.915,0.9575
Black Book starred the actress and writer of what heritage?,0.9788,1.0,1.0,0.9375,0.9788,0.8962,0.9788,1.0,1.0,1.0,0.9788,0.9375,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,0.9788,0.9788
Is Bone Marrow transplantation used to treat acute myeloid leukemia (AML)?,0.9788,0.9788,0.9788,0.9575,0.9162,0.9362,0.9575,1.0,1.0,0.9788,0.9362,0.9362,0.9575,1.0,1.0,1.0,0.8938,0.8938,0.9575,1.0,1.0,0.9788,0.895,0.895,0.9788,1.0,1.0,0.9788,0.8938,0.8938,0.9575,1.0,1.0,1.0,0.8938,0.8938,1.0,1.0,1.0,1.0,0.915,0.9362,0.9362,1.0,1.0,0.9788,0.915,0.895
Did the entire state of Florida lead the nation last year with the most prison inmates committing tax fraud?,0.25,0.5,0.5,0.0838,0.1262,0.0838,0.5825,0.6462,0.6462,0.2088,0.2075,0.0638,0.4575,0.75,0.75,0.2088,0.1475,0.1262,0.415,0.5,0.5,0.25,0.27,0.2088,0.665,0.875,0.875,0.3338,0.3125,0.2512,0.6038,0.75,0.75,0.4375,0.3962,0.2912,0.9362,1.0,1.0,0.5412,0.5412,0.3537,0.8512,1.0,1.0,0.6875,0.625,0.5212
Can I be source of energy that create universe?,1.0,1.0,1.0,0.9788,1.0,1.0,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,0.9788,1.0,1.0,1.0,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0,0.9588,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,0.875,0.875,0.875
"Black, mid-weight jacket with cell phone pocket and headphone jack in top pocket Please provide some product recommendations for me",0.9575,1.0,1.0,0.8538,0.8538,0.8538,0.9788,1.0,1.0,0.9788,0.9575,0.9575,0.8538,0.9788,0.9788,0.9788,0.9788,1.0,0.9788,1.0,1.0,1.0,0.9575,0.9575,0.9362,1.0,1.0,1.0,0.9788,0.9788,0.9362,1.0,1.0,1.0,1.0,1.0,0.9575,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,0.9375,0.9362,0.9162
I would order the newest macbook pro and probably get a pink laptop case to match. Please provide some product recommendations for me,0.8962,1.0,1.0,1.0,1.0,1.0,0.9362,1.0,1.0,1.0,0.9788,0.9788,0.9575,1.0,1.0,1.0,1.0,1.0,0.9575,1.0,1.0,1.0,1.0,1.0,0.9575,0.9788,0.9788,0.9588,0.9588,0.9588,0.9575,1.0,1.0,1.0,0.9788,0.9788,0.9575,1.0,1.0,1.0,0.9788,0.9788,1.0,1.0,1.0,1.0,0.9575,0.9575
"I'll get something loose, and easy to move around in, preferably blue. Please provide some product recommendations for me",0.9575,1.0,1.0,0.7288,0.7512,0.6262,0.9362,1.0,1.0,0.9162,0.9162,0.8325,0.915,1.0,1.0,0.8738,0.895,0.8538,0.9575,1.0,1.0,0.8962,0.8325,0.7925,0.9788,1.0,1.0,0.9788,0.8938,0.9362,0.9575,1.0,1.0,0.9575,0.8938,0.895,0.9788,1.0,1.0,0.9575,0.915,0.915,1.0,1.0,1.0,1.0,0.9362,0.9362
I want an apple laptop which is fast and reliable. Something which is fast and efficient and something that looks great quality and attractive. Please provide some product recommendations for me,1.0,1.0,1.0,1.0,0.9362,0.9362,1.0,1.0,1.0,1.0,0.9788,0.9788,0.875,0.875,0.875,0.875,0.8325,0.8325,0.75,0.875,0.875,0.875,0.8325,0.8325,1.0,1.0,1.0,0.9588,0.9575,0.9788,0.9788,1.0,1.0,1.0,0.9575,0.9575,0.9162,0.9788,0.9788,0.9788,0.9362,0.9362,1.0,1.0,1.0,1.0,0.9362,0.9362
"i would buy the fastest laptop, it would be an Apple, but one that will last and be good value for money Please provide some product recommendations for me",0.8725,0.9788,0.9788,0.77,0.7712,0.7288,0.915,1.0,1.0,0.8538,0.8538,0.7912,0.7288,1.0,1.0,0.895,0.8312,0.7912,0.9575,1.0,1.0,0.895,0.8112,0.8112,0.9575,1.0,1.0,0.9575,0.9375,0.9375,0.79,1.0,1.0,0.9788,0.8725,0.8938,0.8938,1.0,1.0,0.9575,0.915,0.895,0.8938,0.9788,0.9788,0.5,0.52,0.5412
I would want an apple laptop because they are the most reliable in my opinion Please provide some product recommendations for me,0.895,1.0,1.0,0.855,0.7288,0.7925,0.9362,1.0,1.0,0.8962,0.8538,0.8538,0.9788,1.0,1.0,0.9162,0.8312,0.895,1.0,1.0,1.0,0.8538,0.7488,0.7488,0.9788,1.0,1.0,0.9162,0.8112,0.8325,0.9788,1.0,1.0,0.895,0.7688,0.8738,1.0,1.0,1.0,0.9788,0.8738,0.8938,0.9788,1.0,1.0,0.9788,0.915,0.915
A workhorse; something that can keep up with a traditional desktop PC and provide the power I need for graphic design and gaming. Please provide some product recommendations for me,0.9362,1.0,1.0,0.875,0.8325,0.8112,0.9788,1.0,1.0,0.9788,0.9362,0.9162,0.9575,1.0,1.0,0.9788,0.8525,0.8738,0.9788,1.0,1.0,0.9575,0.8512,0.8512,0.9788,0.9788,0.9788,0.9788,0.8938,0.8938,0.9575,1.0,1.0,1.0,0.9362,0.9575,0.9575,1.0,1.0,0.9788,0.8938,0.8938,0.9362,1.0,1.0,1.0,0.9362,0.9362
The jacket I would choose as a replacement is a leather jacket  Please provide some product recommendations for me,1.0,1.0,1.0,1.0,0.9788,0.9788,1.0,1.0,1.0,1.0,1.0,1.0,0.9788,1.0,1.0,0.9788,0.9788,0.9788,1.0,1.0,1.0,0.9788,0.9788,0.9788,0.9788,1.0,1.0,0.9588,0.9575,0.9588,1.0,1.0,1.0,0.9788,0.9588,0.9788,1.0,1.0,1.0,1.0,0.9575,0.9575,0.9575,1.0,1.0,0.9162,0.9375,0.9375
"I would choose a better laptop. I would want something with a good amount of RAM, and some processing power so that programs like Word and Excel don't slowdown. Memory means little to me, as I have external harddrives I can just transfer any big files to them, and much of the programs that I do use make use of Cloud saves.  Please provide some product recommendations for me",0.9575,1.0,1.0,0.9375,0.8112,0.8112,1.0,1.0,1.0,0.9788,0.9362,0.9375,0.8325,1.0,1.0,0.9362,0.8725,0.8738,0.9788,1.0,1.0,0.9575,0.9575,0.9575,0.9362,1.0,1.0,0.8538,0.8738,0.8112,0.9362,1.0,1.0,0.9788,0.9575,0.9575,0.9788,1.0,1.0,1.0,0.9362,0.9362,0.9362,1.0,1.0,0.9788,0.8938,0.915
blue suede zip up jacket with warm lining and pockets Please provide some product recommendations for me,0.9788,1.0,1.0,0.8962,0.9588,1.0,0.9788,1.0,1.0,1.0,0.9788,1.0,0.9788,1.0,1.0,0.9788,1.0,1.0,1.0,1.0,1.0,0.9788,0.9588,1.0,0.875,0.875,0.875,0.875,0.875,0.875,1.0,1.0,1.0,1.0,1.0,1.0
"I would like a jacket which is approximately 40inch chest, ideally the colour blue, has multiple pockets and is relatively lightweight to enable me to use it in a warmer climate. Please provide some product recommendations for me",0.9788,1.0,1.0,0.9162,0.8112,0.8325,0.915,1.0,1.0,0.895,0.7288,0.6862,0.9362,1.0,1.0,0.8962,0.8325,0.875,0.9362,1.0,1.0,0.8538,0.7912,0.77,0.9575,1.0,1.0,0.9162,0.8112,0.79,1.0,1.0,1.0,1.0,0.8725,0.8525,0.9575,1.0,1.0,0.9788,0.8738,0.9162,0.9788,1.0,1.0,1.0,0.8938,0.915
"One to last a few years, with a powerful GPU for gaming that would be able to handle virtual reality programs. It would likely require a lot of storage space as well, but I would choose one with a solid state drive versus a hard drive as the former has no moving parts and less chance of failure. Please provide some product recommendations for me",0.915,1.0,1.0,0.9162,0.79,0.7912,0.9575,1.0,1.0,0.7925,0.7275,0.6862,0.915,1.0,1.0,0.8538,0.7488,0.7275,0.9575,0.9788,0.9788,0.9162,0.8112,0.77,0.9362,1.0,0.9788,0.9788,0.8525,0.8112,0.9362,1.0,1.0,1.0,0.8938,0.915,0.9788,1.0,1.0,0.9788,0.8938,0.8738,0.9788,1.0,1.0,0.9788,0.8725,0.8938
"""I would purchase a jacket that is suitable for both warm and cool weather, it would have long sleeves and a zip down the middle rather than buttons.
It would have a colour that could be popped and it would be a dark colour. "" Please provide some product recommendations for me",0.9362,0.9788,0.9788,0.9788,0.915,0.895,0.8538,0.875,0.875,0.8538,0.8538,0.7912,0.9788,1.0,1.0,0.9588,0.9575,0.9162,0.875,0.875,0.875,0.8538,0.8338,0.7912,0.915,1.0,1.0,1.0,0.9788,0.9375,0.875,0.8538,0.8538,0.8325,0.7688,0.79,0.9362,1.0,1.0,0.9788,0.915,0.9575,0.9575,1.0,1.0,0.9575,0.9575,0.9375
id buy a laptop with a large internal hard drive so I can store plenty of files on it. id buy one that was capable of running windows. it would need to have good processing power and load rapidly. Please provide some product recommendations for me,0.732,1.0,1.0,0.2,0.2,0.234,0.932,1.0,1.0,0.4,0.732,0.8,1.0,1.0,1.0,0.566,0.6,0.6,0.966,1.0,1.0,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I would buy a lightweight laptop that ran on microsoft not apple as its easier for work. I'd not consider a hybrid or 2 in 1 type of device as I dont believe they are as robust Please provide some product recommendations for me,0.9362,1.0,1.0,0.9162,0.8525,0.8125,0.915,1.0,1.0,0.875,0.8325,0.875,0.9362,0.9788,0.9788,0.8538,0.79,0.7275,0.9362,1.0,1.0,0.9575,0.8725,0.8938,1.0,1.0,1.0,0.9788,0.8938,0.8938,0.9575,1.0,1.0,0.9575,0.8738,0.8938,0.9362,0.9788,0.9788,0.855,0.875,0.855,0.9575,1.0,1.0,0.9575,0.915,0.915
I would buy an apple mac book air as they are light fast and easy to use Please provide some product recommendations for me,0.9362,1.0,1.0,0.625,0.8325,0.8112,0.9362,1.0,1.0,0.8338,0.8538,0.895,0.8325,1.0,1.0,0.7925,0.8938,0.9362,0.9362,1.0,1.0,1.0,0.8325,0.875,0.9575,1.0,1.0,0.9788,0.9362,0.9162,1.0,1.0,1.0,1.0,0.9362,0.9362,1.0,1.0,1.0,1.0,0.8725,0.8725,0.9788,1.0,1.0,0.9788,0.915,0.9362
I want to choose a laptop that is easy to use and portable. I want it to be  intuitive and simple. Please provide some product recommendations for me,0.8338,1.0,1.0,1.0,0.9788,0.9788,0.7925,1.0,1.0,1.0,0.9575,0.9575,0.9788,1.0,1.0,1.0,0.9788,0.9788,0.8962,1.0,1.0,1.0,0.9575,0.9575,0.875,1.0,0.9788,0.9588,0.895,0.895,1.0,1.0,1.0,1.0,0.9788,0.9788,0.9575,1.0,1.0,0.8962,0.8962,0.8538,0.9788,1.0,1.0,1.0,0.9788,0.9788
"I want to but a laptop with a 17 inch screen, a decent processor and a solid state hard drive. I need a minimum of 8 gigs of memory.  Graphics are not really that important. Please provide some product recommendations for me",0.9575,1.0,1.0,0.895,0.7912,0.8738,0.9575,1.0,1.0,0.9162,0.8738,0.875,0.9575,1.0,1.0,0.9575,0.915,0.9362,0.8738,1.0,1.0,0.855,0.79,0.7912,0.9575,1.0,1.0,1.0,0.8938,0.915,0.9788,1.0,1.0,1.0,0.8938,0.915,0.8938,1.0,1.0,0.7088,0.7488,0.6462,0.915,1.0,0.9788,0.875,0.8725,0.7912
Should growth hormone and antibiotic use in livestock be banned?,0.915,0.9375,0.9375,0.9162,0.8938,0.8325,0.915,1.0,1.0,0.9375,0.8112,0.7712,0.9575,1.0,1.0,0.9788,0.8738,0.8538,0.9575,1.0,1.0,0.9788,0.915,0.9362,0.9362,1.0,1.0,0.9788,0.8112,0.8112,0.915,0.9788,0.9788,0.9788,0.8112,0.7712,0.9362,1.0,1.0,1.0,0.9362,0.9575,0.9788,0.9788,0.9788,1.0,0.8938,0.8938
When does political correctness become lies and free speech become hate?,0.9788,1.0,1.0,0.9788,0.9788,1.0,0.9788,1.0,1.0,0.9788,0.9788,0.9788,0.9788,1.0,1.0,0.9788,0.9788,0.9788,0.9575,1.0,1.0,1.0,0.9575,0.9575,0.9575,1.0,1.0,0.9788,0.9375,0.9588,0.9788,1.0,1.0,1.0,0.9788,1.0,0.9788,1.0,1.0,1.0,0.9575,0.9575,0.9362,1.0,1.0,1.0,0.9575,1.0
